PROT	control.1	control.2	control.3	control.4	control.5	control.6	control.7	control.8	control.9	control.10	mutant.1.A	mutant.1.B	mutant.2	mutant.3
p253	0	2	0	0	0	0	0	0	0	0	5	4	7	7
p254	0	2	0	0	0	0	0	0	0	0	11	11	6	2
p255	0	2	0	0	0	0	0	0	0	0	0	2	4	3
p256	0	2	0	0	0	0	0	0	0	0	0	2	2	2
p257	0	2	0	0	0	0	0	0	0	0	0	0	0	0
p258	0	0	2	0	0	0	0	0	0	0	4	0	0	5
p259	0	0	2	0	0	0	0	0	0	0	5	5	7	5
p260	0	0	2	0	0	0	0	0	0	0	3	2	3	4
p261	0	0	2	0	0	0	0	0	0	0	4	0	3	0
p262	0	0	2	0	0	0	0	0	0	0	3	4	5	6
p263	0	0	0	2	0	0	0	0	0	0	0	3	5	6
p264	0	0	0	2	0	0	0	0	0	0	0	2	2	0
p265	0	0	0	2	0	0	0	0	0	0	0	3	5	4
p266	0	0	0	2	0	0	0	0	0	0	4	4	2	3
p267	0	0	0	2	0	0	0	0	0	0	4	3	0	4
p268	0	0	0	2	0	0	0	0	0	0	2	5	4	8
p269	0	0	0	2	0	0	0	0	0	0	0	2	2	2
p270	0	0	0	2	0	0	0	0	0	0	3	3	3	7
p271	0	0	0	2	0	0	0	0	0	0	2	4	3	0
p272	0	0	0	2	0	0	0	0	0	0	2	0	0	0
p273	0	0	0	2	0	0	0	0	0	0	4	2	2	2
p274	0	0	0	2	0	0	0	0	0	0	0	0	0	0
p275	0	0	0	2	0	0	0	0	0	0	6	5	3	11
p276	0	0	0	2	0	0	0	0	0	0	0	3	0	0
p277	0	0	0	2	0	0	0	0	0	0	3	0	2	2
p278	0	0	0	0	0	2	0	0	0	0	0	0	0	0
p279	0	0	0	0	0	2	0	0	0	0	0	0	0	0
p280	0	0	0	0	0	2	0	0	0	0	0	0	0	0
p281	0	0	0	0	0	0	2	0	0	0	0	0	0	0
p282	0	0	0	2	0	0	0	0	0	0	0	0	0	0
p283	0	0	0	0	0	0	0	0	0	2	0	0	0	0
p284	0	0	0	0	0	0	0	0	0	2	2	2	4	0
p285	0	0	0	0	0	0	0	0	0	2	0	0	0	0
p286	0	0	0	0	0	0	0	0	0	2	0	0	0	0
p287	0	0	0	0	0	0	0	0	0	2	0	2	0	3
p288	0	0	0	0	0	0	0	0	0	2	0	0	0	0
p289	0	0	0	0	0	0	0	0	0	2	0	0	0	0
p290	0	0	0	0	0	0	0	0	0	2	0	3	5	2
p291	0	0	0	2	0	0	0	0	0	0	9	8	10	13
p292	0	0	2	0	0	0	0	0	0	0	6	4	14	7
p293	0	0	0	2	0	0	0	0	0	0	0	5	4	3
p294	0	0	0	2	0	0	0	0	0	0	0	0	3	0
p295	0	0	2	0	0	0	0	0	0	0	2	0	4	4
p296	0	0	0	2	0	0	0	0	0	0	0	0	0	2
p297	0	0	0	0	2	0	0	0	0	0	0	0	0	2
p298	0	0	0	0	0	0	0	0	0	2	0	4	2	5
p299	0	0	0	2	0	0	0	0	0	0	3	2	2	0
p300	0	0	0	2	0	0	0	0	0	0	0	0	0	4
p301	0	0	2	0	0	0	0	0	0	0	2	2	0	2
p302	0	0	0	0	0	0	0	0	2	0	5	0	2	2
p303	0	0	0	2	0	0	0	0	0	0	3	2	2	0
p304	0	0	0	2	0	0	0	0	0	0	2	3	3	7
p305	2	0	0	0	0	0	0	0	0	0	0	0	3	2
p306	0	0	0	2	0	0	0	0	0	0	4	3	4	6
p307	0	2	0	0	0	0	0	0	0	0	0	4	4	5
p308	0	0	0	2	0	0	0	0	0	0	3	2	4	2
p309	0	0	0	2	0	0	0	0	0	0	0	0	0	2
p310	0	0	0	0	0	0	0	0	0	2	0	2	2	2
p311	0	2	0	0	0	0	0	0	0	0	2	2	2	2
p312	0	0	0	0	0	0	2	0	0	0	2	3	0	3
